Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
06/03/2024,22:16:47,eth,0x84f28d45a56065cc554ea6d0e505c649ec432f3d1755ccbc4422cbcd8d0f0c69,https://etherscan.io/tx/0x84f28d45a56065cc554ea6d0e505c649ec432f3d1755ccbc4422cbcd8d0f0c69,receive,0xdfc7089c1c96522b102045839029e432758c80cd,,ETH,token,0.16092668775366598,614.4905108529858,no,
06/03/2024,21:54:32,bsc,0x7d55bbf373dc676f665fd8b4e0a76f78f1561dc7a5f9636bd7bef81feed6b669,https://bscscan.com/tx/0x7d55bbf373dc676f665fd8b4e0a76f78f1561dc7a5f9636bd7bef81feed6b669,receive,0xba8cfca6055a4835fcbe1fcd852fbeca62f3df35,,USDT,token,4.15,4.15205425,no,
06/03/2024,21:53:02,bsc,0x861ee70354673379163c978cf0a5ff08dd57adb572dbf1e7c2d18d239bbe7f51,https://bscscan.com/tx/0x861ee70354673379163c978cf0a5ff08dd57adb572dbf1e7c2d18d239bbe7f51,receive,0xba8cfca6055a4835fcbe1fcd852fbeca62f3df35,,USDT,token,110.39,110.44464305,no,
06/03/2024,15:40:15,bsc,0x397fb166027a3d9318b739d5768d6b95755bf6d32ad344a63fc1f2f245deef81,https://bscscan.com/tx/0x397fb166027a3d9318b739d5768d6b95755bf6d32ad344a63fc1f2f245deef81,receive,0x51d784ba31bd51805ab200652da92026a3a0e54a,,USDT,token,500,500.24749999999995,no,
06/03/2024,15:35:59,eth,0xff8e4df5460d5244439aef77fe32f4edfafb5281a881ced15b0dcf479b6aafda,https://etherscan.io/tx/0xff8e4df5460d5244439aef77fe32f4edfafb5281a881ced15b0dcf479b6aafda,receive,0xdfc7089c1c96522b102045839029e432758c80cd,,ETH,token,0.297251394498698,1135.0395873235532,no,
06/03/2024,13:51:35,bsc,0xb3b579e0c1291f3982cecfcb918bd253bd16733d0de7e1ef6c3d63999997f2e2,https://bscscan.com/tx/0xb3b579e0c1291f3982cecfcb918bd253bd16733d0de7e1ef6c3d63999997f2e2,receive,0x9809e19990f0f6fa078ecf3b7ce73e00fe6359ae,,USDT,token,2.075,2.076027125,no,
06/03/2024,13:48:56,bsc,0x4437e47acb0db929272621df78ee1b1e62a952ffbef826353df8914f2d44a52c,https://bscscan.com/tx/0x4437e47acb0db929272621df78ee1b1e62a952ffbef826353df8914f2d44a52c,receive,0x9809e19990f0f6fa078ecf3b7ce73e00fe6359ae,,USDT,token,49.8,49.824650999999996,no,
06/03/2024,13:47:20,bsc,0xf3c4ea1a892793582fb8bd6c7d466c4984c14960eda6969180fd56a12cc377b7,https://bscscan.com/tx/0xf3c4ea1a892793582fb8bd6c7d466c4984c14960eda6969180fd56a12cc377b7,receive,0x9809e19990f0f6fa078ecf3b7ce73e00fe6359ae,,USDT,token,0.0083,0.008304108499999999,no,
05/03/2024,22:23:01,bsc,0xe32302c7476ef7d7637ea2ef82009d821cc56e4594d9f82ebc542f512d6c3cad,https://bscscan.com/tx/0xe32302c7476ef7d7637ea2ef82009d821cc56e4594d9f82ebc542f512d6c3cad,receive,0xbf198df706f5e1a4fbe929ddc8ee00061f8353b0,,USDT,token,0.01,0.010012350000000001,no,
05/03/2024,22:22:34,bsc,0xdcfc9e7f9d05efec6b34865641365de33fd22f06a4df4d38e783bf73c75bcb37,https://bscscan.com/tx/0xdcfc9e7f9d05efec6b34865641365de33fd22f06a4df4d38e783bf73c75bcb37,receive,0xbf198df706f5e1a4fbe929ddc8ee00061f8353b0,,USDC,token,1,1,no,
